STUDENT IDENTIFIER,STDNT_AGE,STDNT_GENDER,STDNT_BACKGROUND,IN_STATE_FLAG,INTERNATIONAL_STS,STDNT_TEST_ENTRANCE_COMB,FIRST_TERM,SECOND_TERM,HOUSING_STS,RETURNED_2ND_YR,DISTANCE_FROM_HOME,HIGH_SCHL_GPA,HIGH_SCHL_NAME,FATHER_HI_EDU_DESC,MOTHER_HI_EDU_DESC,DEGREE_GROUP_DESC,FIRST_TERM_ATTEMPT_HRS,FIRST_TERM_EARNED_HRS,SECOND_TERM_ATTEMPT_HRS,SECOND_TERM_EARNED_HRS,GROSS_FIN_NEED,COST_OF_ATTEND,EST_FAM_CONTRIBUTION,UNMET_NEED,Fall_GPA,Spring_GPA,Passed_Count,Failed_Count,Incomplete_Count,First_Completion_Rate,Second_Completion_Rate,Total_Attempt_Hours,Total_Earned_Hours,Total_Completion_Rate,Need_Coverage_Ratio,Unmet_Need_Ratio,Net_Cost,Financial_Difficulty,Major_Category
8032161,18,M,BGD 2,Y,N,1030.0,Fall 2008,Spring 2009,Off Campus,1,69.0,3.73,SCHOOL 10,College/Beyond,College/Beyond,Bachelors,14,14,13.0,13.0,0,0,0,0.0,2.6666666666666665,2.6666666666666665,6,0,0,1.0,1.0,27.0,27.0,1.0,0.0,0.0,0,0.0,STEM
7773579,18,M,BGD 6,Y,N,1070.0,Fall 2008,Spring 2009,Off Campus,1,69.0,3.0,SCHOOL 130,College/Beyond,High School,Bachelors,16,16,15.0,15.0,551940,915000,363060,341940.0,3.0,2.0,6,0,0,1.0,1.0,31.0,31.0,1.0,0.39678688524590167,0.3737049180327869,551940,893880.0,Undeclared
7884035,18,M,BGD 1,Y,N,1070.0,Fall 2009,Spring 2010,On Campus,1,90.0,3.06,SCHOOL 52,High School,College/Beyond,Bachelors,16,16,19.0,19.0,692760,1418100,725340,275340.0,2.6666666666666665,2.0,6,0,0,1.0,1.0,35.0,35.0,1.0,0.5114872011846837,0.19416120160778508,692760,968100.0,Arts & Humanities
7815536,18,F,BGD 8,N,N,910.0,Fall 2009,Spring 2010,Off Campus,1,0.0,3.8,SCHOOL 7,College/Beyond,High School,Bachelors,15,15,18.0,18.0,1418100,1418100,0,936600.0,2.6666666666666665,2.0,6,0,0,1.0,1.0,33.0,33.0,1.0,0.0,0.6604611804527184,1418100,2354700.0,Social Sciences
8001874,18,F,BGD 1,Y,N,990.0,Fall 2010,Spring 2011,Off Campus,1,69.0,3.8,SCHOOL 11,High School,High School,Bachelors,13,13,19.0,12.0,0,0,0,0.0,3.0,2.3333333333333335,6,0,0,1.0,0.631578947368421,32.0,25.0,0.78125,0.0,0.0,0,0.0,STEM
7786308,18,F,BGD 2,N,N,950.0,Fall 2010,Spring 2011,Off Campus,1,0.0,3.66,SCHOOL 395,Other/Unknown,College/Beyond,Bachelors,13,13,15.0,15.0,0,0,0,0.0,2.6666666666666665,2.3333333333333335,6,0,0,1.0,1.0,28.0,28.0,1.0,0.0,0.0,0,0.0,STEM
7944257,17,M,BGD 1,Y,N,1190.0,Fall 2005,Spring 2006,On Campus,1,138.0,3.94,SCHOOL 57,High School,College/Beyond,Bachelors,13,13,15.0,15.0,0,336960,0,-288180.0,3.0,2.3333333333333335,6,0,0,1.0,1.0,28.0,28.0,1.0,0.0,-0.8552350427350427,336960,-288180.0,STEM
7954834,18,M,BGD 1,Y,N,1150.0,Fall 2006,Spring 2007,On Campus,1,150.0,3.37,SCHOOL 65,College/Beyond,High School,Bachelors,16,16,14.0,14.0,0,0,0,0.0,2.6666666666666665,2.3333333333333335,6,0,0,1.0,1.0,30.0,30.0,1.0,0.0,0.0,0,0.0,Business
7881364,18,F,BGD 3,Y,N,1030.0,Fall 2008,Spring 2009,Off Campus,1,235.0,3.4,SCHOOL 416,High School,High School,Bachelors,12,12,15.0,15.0,1171800,1474800,303000,337680.0,3.0,2.0,6,0,0,1.0,1.0,27.0,27.0,1.0,0.20545158665581773,0.22896663954434499,1171800,1509480.0,Health
7843851,18,M,BGD 1,Y,N,990.0,Fall 2009,Spring 2010,On Campus,1,69.0,3.07,SCHOOL 3,High School,High School,Bachelors,16,12,16.0,16.0,1349880,1418100,68220,43680.0,2.6666666666666665,2.0,6,0,0,0.75,1.0,32.0,28.0,0.875,0.04810662153585784,0.03080177702559763,1349880,1393560.0,Undeclared
